epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,395.067,1.16318,0.80957,0.89578,0.89319,0.84056,0.89109,0.65445,0.934,0.65161,0.88085,0.00118008,0.00118008,0.00118008
60,401.889,1.19009,0.82333,0.89887,0.88741,0.83552,0.88704,0.65343,0.92563,0.64209,0.87635,0.00117205,0.00117205,0.00117205
61,408.706,1.20052,0.85328,0.91237,0.89561,0.84641,0.88934,0.67415,0.87306,0.61725,0.87493,0.00116393,0.00116393,0.00116393
62,415.409,1.18299,0.81398,0.88891,0.8927,0.8392,0.8895,0.66164,0.93214,0.64604,0.89083,0.00115571,0.00115571,0.00115571
63,422.203,1.19198,0.83148,0.90201,0.88726,0.84053,0.88573,0.66716,0.88802,0.63287,0.88029,0.0011474,0.0011474,0.0011474
64,428.587,1.15346,0.81325,0.90101,0.88362,0.85649,0.89027,0.66903,0.88558,0.64248,0.87644,0.001139,0.001139,0.001139
65,434.917,1.19764,0.81018,0.89107,0.8784,0.85015,0.88806,0.6636,0.88709,0.62605,0.8664,0.00113051,0.00113051,0.00113051
66,441.217,1.1815,0.82237,0.89431,0.91733,0.82779,0.88732,0.67078,0.85942,0.61198,0.85889,0.00112194,0.00112194,0.00112194
67,447.502,1.15462,0.79633,0.8935,0.85398,0.84905,0.88895,0.66712,0.88175,0.62882,0.87314,0.00111329,0.00111329,0.00111329
68,454.168,1.14831,0.79785,0.88723,0.90127,0.85357,0.89397,0.66699,0.90254,0.63978,0.87828,0.00110455,0.00110455,0.00110455
69,461.216,1.18265,0.79907,0.89295,0.90525,0.8421,0.89432,0.67345,0.88128,0.62005,0.87385,0.00109574,0.00109574,0.00109574
70,467.574,1.14699,0.78462,0.88193,0.91128,0.8401,0.8889,0.67859,0.8698,0.62021,0.87704,0.00108685,0.00108685,0.00108685
71,473.858,1.11474,0.78502,0.89263,0.897,0.85919,0.89399,0.67049,0.88398,0.61552,0.86795,0.00107789,0.00107789,0.00107789
72,480.186,1.13416,0.79227,0.88773,0.90409,0.83545,0.89075,0.66135,0.89204,0.61749,0.863,0.00106885,0.00106885,0.00106885
73,486.474,1.10418,0.77126,0.89242,0.90081,0.83817,0.89082,0.66336,0.88364,0.62235,0.86421,0.00105975,0.00105975,0.00105975
74,492.752,1.17737,0.83541,0.89899,0.90544,0.84255,0.89231,0.66719,0.89837,0.6279,0.86713,0.00105057,0.00105057,0.00105057
75,499.047,1.13736,0.78234,0.89065,0.86055,0.8748,0.8944,0.6743,0.86739,0.60987,0.87007,0.00104134,0.00104134,0.00104134
76,505.345,1.11566,0.76735,0.88129,0.90361,0.85712,0.89554,0.67942,0.86593,0.60721,0.87576,0.00103203,0.00103203,0.00103203
77,511.66,1.11385,0.77167,0.88877,0.88913,0.85055,0.89326,0.66626,0.88541,0.61713,0.8701,0.00102267,0.00102267,0.00102267
78,518.022,1.12471,0.76638,0.88269,0.89374,0.85446,0.89133,0.67442,0.88043,0.60813,0.8722,0.00101325,0.00101325,0.00101325
79,525.315,1.12362,0.77097,0.88615,0.89459,0.8567,0.89211,0.67771,0.86912,0.60861,0.86194,0.00100378,0.00100378,0.00100378
80,531.855,1.10349,0.78484,0.87925,0.89068,0.85964,0.8886,0.6843,0.84916,0.59734,0.86465,0.000994245,0.000994245,0.000994245
81,538.319,1.18945,0.78741,0.88597,0.89192,0.86136,0.89633,0.66304,0.89185,0.59649,0.86724,0.000984663,0.000984663,0.000984663
82,544.744,1.09264,0.76907,0.89231,0.90705,0.83777,0.89385,0.68676,0.84841,0.61595,0.86733,0.000975033,0.000975033,0.000975033
83,551.201,1.11065,0.79104,0.89268,0.89227,0.84628,0.89446,0.68379,0.85039,0.61517,0.87495,0.000965355,0.000965355,0.000965355
84,557.683,1.09609,0.73279,0.87528,0.90462,0.86075,0.89452,0.68433,0.84806,0.60808,0.86931,0.000955634,0.000955634,0.000955634
85,564.134,1.11528,0.75208,0.87741,0.88397,0.86566,0.89467,0.69228,0.82492,0.5868,0.86363,0.00094587,0.00094587,0.00094587
86,570.6,1.11955,0.7745,0.89205,0.89748,0.8654,0.89722,0.68596,0.85925,0.63534,0.87115,0.000936067,0.000936067,0.000936067
87,577.042,1.15048,0.78,0.8823,0.88836,0.84253,0.89442,0.68738,0.83845,0.60777,0.86039,0.000926227,0.000926227,0.000926227
88,583.525,1.11808,0.76095,0.89288,0.90073,0.85941,0.90393,0.69163,0.8389,0.60217,0.86643,0.000916352,0.000916352,0.000916352
89,590.951,1.10959,0.75971,0.88409,0.89096,0.84203,0.88861,0.68464,0.83219,0.62476,0.86585,0.000906446,0.000906446,0.000906446
90,597.452,1.1156,0.76414,0.89239,0.90399,0.84491,0.89424,0.67672,0.83483,0.60747,0.86668,0.000896509,0.000896509,0.000896509
91,603.928,1.14237,0.76403,0.88035,0.90741,0.85816,0.8997,0.67717,0.84948,0.59391,0.86761,0.000886545,0.000886545,0.000886545
92,610.406,1.1178,0.74988,0.88406,0.86039,0.87727,0.90121,0.68278,0.86248,0.59645,0.86809,0.000876557,0.000876557,0.000876557
93,616.826,1.10182,0.74785,0.87837,0.89418,0.85238,0.89829,0.68202,0.84135,0.60945,0.86642,0.000866546,0.000866546,0.000866546
94,623.298,1.1669,0.76251,0.88106,0.90886,0.86881,0.90138,0.69298,0.84732,0.5971,0.867,0.000856515,0.000856515,0.000856515
95,629.801,1.09104,0.73586,0.87237,0.90545,0.84927,0.89138,0.6838,0.87165,0.59352,0.87575,0.000846466,0.000846466,0.000846466
96,636.318,1.08667,0.73303,0.87376,0.88851,0.87996,0.90169,0.68925,0.84946,0.58699,0.87209,0.000836403,0.000836403,0.000836403
97,642.777,1.10315,0.72938,0.87266,0.89744,0.87015,0.90326,0.68191,0.83598,0.58987,0.87084,0.000826327,0.000826327,0.000826327
98,649.248,1.04813,0.71725,0.87516,0.90953,0.85702,0.90037,0.69049,0.8393,0.5918,0.86668,0.000816242,0.000816242,0.000816242
99,656.771,1.06799,0.71692,0.87286,0.89559,0.86028,0.89571,0.68047,0.85165,0.58684,0.86829,0.000806149,0.000806149,0.000806149
100,663.243,1.08427,0.72773,0.87346,0.89932,0.85208,0.89417,0.68577,0.83394,0.59246,0.87096,0.000796051,0.000796051,0.000796051
101,669.656,1.09886,0.73116,0.88113,0.8723,0.86235,0.89225,0.68068,0.8619,0.6023,0.86847,0.00078595,0.00078595,0.00078595
102,676.144,1.07256,0.73117,0.88468,0.89968,0.85708,0.90042,0.70198,0.81928,0.57845,0.858,0.000775849,0.000775849,0.000775849
103,682.605,1.03919,0.70953,0.86786,0.9084,0.86595,0.90018,0.68896,0.83868,0.5673,0.85887,0.000765751,0.000765751,0.000765751
104,689.053,1.04924,0.71506,0.8708,0.89468,0.8807,0.90805,0.7005,0.83516,0.56741,0.86234,0.000755658,0.000755658,0.000755658
105,695.451,1.04505,0.73029,0.87512,0.91719,0.86892,0.9053,0.7028,0.83587,0.56551,0.86394,0.000745573,0.000745573,0.000745573
106,701.916,1.06991,0.69889,0.86781,0.88346,0.86534,0.90461,0.69006,0.84953,0.56846,0.86902,0.000735497,0.000735497,0.000735497
107,708.392,1.04798,0.68894,0.87085,0.87632,0.87606,0.8997,0.69845,0.81305,0.55873,0.86637,0.000725434,0.000725434,0.000725434
108,714.867,1.055,0.70612,0.86707,0.90512,0.86363,0.90477,0.69723,0.81689,0.56516,0.86783,0.000715385,0.000715385,0.000715385
109,722.317,1.09338,0.71034,0.86807,0.91453,0.85821,0.91047,0.70787,0.81185,0.56848,0.87353,0.000705354,0.000705354,0.000705354
