epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,13110.1,1.46931,2.24059,1.37178,1.22633,0,0.53279,0.46128,0.45498,0.20707,0.4238,0.41149,0.3738,0.14983,1.95872,2.2596,1.52381,1.28758,0,0.00747973,0.00747973,0.00747973
73,13291.7,1.46434,2.23647,1.37243,1.22319,0,0.4599,0.46252,0.44373,0.20033,0.39043,0.39727,0.35565,0.14068,1.97717,2.26355,1.5165,1.28607,0,0.00741601,0.00741601,0.00741601
74,13473.8,1.47798,2.23846,1.36271,1.2301,0,0.48707,0.48588,0.46445,0.2026,0.3853,0.43374,0.3618,0.14102,1.95926,2.26004,1.49648,1.28435,0,0.00735181,0.00735181,0.00735181
75,13668.9,1.45717,2.24464,1.36298,1.22553,0,0.47992,0.47531,0.44681,0.20114,0.42288,0.38886,0.35748,0.13994,1.97448,2.25208,1.50468,1.28674,0,0.00728717,0.00728717,0.00728717
76,13850.2,1.46955,2.21835,1.37818,1.22572,0,0.56082,0.44668,0.46088,0.20687,0.45384,0.41651,0.37613,0.14702,1.97224,2.21639,1.50584,1.28549,0,0.00722208,0.00722208,0.00722208
77,14032,1.46911,2.22232,1.37746,1.2239,0,0.41834,0.49747,0.4415,0.2081,0.39451,0.41143,0.37842,0.14955,1.95924,2.23552,1.50137,1.27246,0,0.00715656,0.00715656,0.00715656
78,14213.2,1.46236,2.21792,1.3591,1.22642,0,0.45059,0.50036,0.43799,0.19966,0.38952,0.42544,0.35994,0.14019,1.9779,2.26763,1.50477,1.2862,0,0.00709064,0.00709064,0.00709064
79,14394.6,1.46293,2.20072,1.35868,1.22382,0,0.46065,0.45989,0.43686,0.20549,0.41569,0.41393,0.3634,0.14349,1.96107,2.2303,1.48648,1.28357,0,0.00702432,0.00702432,0.00702432
80,14576.2,1.47056,2.21688,1.35208,1.22395,0,0.51117,0.46325,0.45466,0.20592,0.40862,0.41684,0.37397,0.14733,1.9637,2.22018,1.48832,1.27626,0,0.00695763,0.00695763,0.00695763
81,14758.6,1.4642,2.20777,1.35427,1.22011,0,0.53489,0.46925,0.46011,0.21001,0.43252,0.40436,0.37062,0.14946,1.95543,2.20818,1.47015,1.27962,0,0.00689058,0.00689058,0.00689058
82,14940.3,1.46493,2.22662,1.36079,1.23133,0,0.51064,0.49092,0.45861,0.20822,0.41987,0.41122,0.36473,0.14143,1.97009,2.25584,1.4998,1.28664,0,0.00682318,0.00682318,0.00682318
83,15121.6,1.45377,2.19655,1.34242,1.21658,0,0.52288,0.45637,0.45633,0.21111,0.44261,0.39613,0.38248,0.1485,1.94004,2.204,1.47642,1.28213,0,0.00675546,0.00675546,0.00675546
84,15303.6,1.45499,2.20028,1.34661,1.22306,0,0.50257,0.46025,0.44495,0.20956,0.44736,0.41479,0.38606,0.15111,1.95745,2.23594,1.49483,1.28055,0,0.00668743,0.00668743,0.00668743
85,15485.3,1.44763,2.19179,1.33432,1.21526,0,0.44266,0.50445,0.44907,0.20756,0.35253,0.46061,0.36602,0.14509,1.97016,2.25042,1.48709,1.28311,0,0.0066191,0.0066191,0.0066191
86,15666.5,1.44928,2.18773,1.345,1.21563,0,0.42104,0.49191,0.44564,0.20811,0.38312,0.43105,0.368,0.14524,1.95716,2.23067,1.47268,1.28261,0,0.0065505,0.0065505,0.0065505
87,15848.7,1.44987,2.2044,1.33316,1.21286,0,0.49239,0.49914,0.45615,0.20726,0.39717,0.41727,0.35675,0.14518,1.95486,2.26931,1.4872,1.27332,0,0.00648164,0.00648164,0.00648164
88,16030.1,1.422,2.18948,1.31411,1.2055,0,0.50969,0.46172,0.46426,0.21453,0.42533,0.41924,0.38862,0.15601,1.93525,2.21005,1.45987,1.27448,0,0.00641254,0.00641254,0.00641254
89,16211.9,1.44682,2.1804,1.32141,1.21593,0,0.52597,0.43245,0.44898,0.2073,0.34813,0.4683,0.37823,0.14858,1.94872,2.24337,1.48943,1.27924,0,0.00634322,0.00634322,0.00634322
90,16393.3,1.44358,2.18863,1.32508,1.21519,0,0.47343,0.47964,0.45211,0.21089,0.40146,0.43638,0.38744,0.15217,1.93596,2.21549,1.47611,1.27344,0,0.00627368,0.00627368,0.00627368
91,16575.1,1.43439,2.18489,1.32066,1.21494,0,0.44653,0.47389,0.45507,0.21298,0.41421,0.4166,0.38315,0.15181,1.92971,2.21849,1.46488,1.27347,0,0.00620396,0.00620396,0.00620396
92,16756.5,1.43852,2.1897,1.31626,1.21588,0,0.47877,0.45889,0.45151,0.21335,0.41494,0.42347,0.37396,0.15096,1.93578,2.22768,1.47079,1.27342,0,0.00613406,0.00613406,0.00613406
93,16938.7,1.44656,2.18143,1.32021,1.21458,0,0.50009,0.448,0.45308,0.21377,0.40255,0.4041,0.37448,0.14965,1.93553,2.20942,1.47787,1.26925,0,0.006064,0.006064,0.006064
94,17120.5,1.43184,2.15926,1.31054,1.20972,0,0.486,0.47338,0.45454,0.21345,0.39491,0.40266,0.37271,0.15264,1.94698,2.21272,1.46751,1.27144,0,0.0059938,0.0059938,0.0059938
95,17301.5,1.43772,2.18139,1.3147,1.2117,0,0.47847,0.50828,0.46587,0.21413,0.42059,0.4325,0.38311,0.153,1.93886,2.19391,1.45988,1.2745,0,0.00592349,0.00592349,0.00592349
96,17483,1.42693,2.1677,1.30208,1.20562,0,0.51462,0.46632,0.46325,0.2109,0.42263,0.40421,0.37501,0.15177,1.9478,2.21364,1.4739,1.28273,0,0.00585307,0.00585307,0.00585307
97,17664.9,1.42619,2.16796,1.30074,1.20292,0,0.42206,0.51601,0.45292,0.21219,0.38105,0.44581,0.38378,0.15056,1.93724,2.21259,1.46696,1.27022,0,0.00578256,0.00578256,0.00578256
