epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3441.34,1.5396,2.38826,1.49583,1.26575,0,0.4371,0.42764,0.38753,0.16623,0.37357,0.36683,0.31851,0.11803,2.02872,2.55178,1.659,1.32161,0,0.00926113,0.00926113,0.00926113
39,3535.68,1.54657,2.36331,1.49912,1.26386,0,0.42275,0.49239,0.40584,0.18168,0.38705,0.4324,0.34624,0.13704,2.04009,2.54977,1.63555,1.32905,0,0.00922186,0.00922186,0.00922186
40,3631.07,1.54604,2.35842,1.49842,1.26176,0,0.44215,0.4332,0.39314,0.1718,0.39511,0.40717,0.34786,0.13014,2.0787,2.58191,1.67394,1.33665,0,0.00918167,0.00918167,0.00918167
41,3726.8,1.54529,2.36986,1.49345,1.26738,0,0.40123,0.34122,0.31534,0.13149,0.39655,0.30252,0.28377,0.10339,2.15401,2.70639,1.86156,1.36911,0,0.00914058,0.00914058,0.00914058
42,3821.24,1.52318,2.35904,1.48148,1.25169,0,0.43888,0.41884,0.37775,0.16403,0.35971,0.36933,0.32587,0.11948,2.07908,2.60609,1.67683,1.32447,0,0.00909858,0.00909858,0.00909858
43,3917.59,1.52755,2.36174,1.48536,1.25159,0,0.41762,0.45565,0.43245,0.18902,0.34557,0.41754,0.35624,0.13748,2.01875,2.48679,1.56382,1.31069,0,0.0090557,0.0090557,0.0090557
44,4010.32,1.53057,2.35184,1.46707,1.26147,0,0.43307,0.44204,0.42111,0.19157,0.33706,0.42838,0.34849,0.13458,2.00056,2.46595,1.59638,1.30009,0,0.00901194,0.00901194,0.00901194
45,4094.16,1.53994,2.38716,1.49308,1.26191,0,0.42758,0.47004,0.42382,0.18396,0.33294,0.40827,0.33031,0.12964,2.02041,2.51014,1.57366,1.30009,0,0.00896731,0.00896731,0.00896731
46,4175.54,1.53432,2.37001,1.48798,1.26711,0,0.45517,0.46438,0.42529,0.18893,0.37964,0.42475,0.35351,0.13191,1.97565,2.44689,1.55327,1.29717,0,0.00892183,0.00892183,0.00892183
47,4256.64,1.5348,2.37528,1.45989,1.26022,0,0.4475,0.39237,0.35295,0.15268,0.45158,0.36476,0.32145,0.12357,2.09618,2.54948,1.74467,1.33193,0,0.0088755,0.0088755,0.0088755
48,4338.05,1.53853,2.34861,1.47304,1.26121,0,0.42121,0.47013,0.40981,0.18382,0.37478,0.43124,0.34714,0.13707,2.00471,2.47861,1.57555,1.28878,0,0.00882834,0.00882834,0.00882834
49,4419.36,1.5272,2.35323,1.45971,1.2576,0,0.41965,0.42342,0.40772,0.18199,0.36172,0.41638,0.34283,0.13218,2.02922,2.48739,1.6178,1.3159,0,0.00878036,0.00878036,0.00878036
50,4502,1.52245,2.36426,1.45638,1.2523,0,0.43078,0.49624,0.44818,0.20397,0.38458,0.42652,0.36944,0.14608,1.97008,2.45857,1.54737,1.28682,0,0.00873157,0.00873157,0.00873157
51,4583.65,1.52051,2.34519,1.45717,1.25137,0,0.4924,0.44235,0.42551,0.18908,0.34301,0.36404,0.32436,0.13433,2.00541,2.45466,1.60023,1.2854,0,0.00868198,0.00868198,0.00868198
52,4664.79,1.51565,2.33785,1.44738,1.25025,0,0.40656,0.46079,0.42785,0.19436,0.34159,0.42948,0.34412,0.13681,2.01964,2.50605,1.56974,1.29534,0,0.00863161,0.00863161,0.00863161
53,4745.28,1.51993,2.34149,1.45789,1.25351,0,0.43691,0.46473,0.41257,0.18423,0.35607,0.41411,0.32635,0.1295,1.98632,2.49823,1.5773,1.28486,0,0.00858046,0.00858046,0.00858046
54,4826.75,1.51173,2.33248,1.4376,1.25204,0,0.4503,0.45096,0.43476,0.19254,0.40568,0.40867,0.38684,0.15136,2.00192,2.46935,1.57069,1.29152,0,0.00852856,0.00852856,0.00852856
55,4908.15,1.50639,2.32465,1.4388,1.24619,0,0.42035,0.42174,0.38891,0.17495,0.35096,0.39075,0.3287,0.12631,2.01972,2.49159,1.61925,1.29554,0,0.0084759,0.0084759,0.0084759
56,4988.89,1.51535,2.31438,1.44666,1.24876,0,0.50811,0.46835,0.44389,0.19859,0.39256,0.42623,0.36954,0.14331,1.98614,2.43716,1.54174,1.29093,0,0.00842252,0.00842252,0.00842252
57,5070.16,1.50797,2.33259,1.43937,1.24502,0,0.46718,0.45608,0.43823,0.19619,0.37887,0.42258,0.34729,0.13636,1.99838,2.51393,1.55608,1.29257,0,0.00836841,0.00836841,0.00836841
58,5151.93,1.51149,2.32451,1.43419,1.24352,0,0.4362,0.44349,0.42814,0.1963,0.39034,0.34435,0.34747,0.13833,1.96313,2.45781,1.54901,1.28633,0,0.00831359,0.00831359,0.00831359
59,5233,1.5081,2.34447,1.44491,1.24518,0,0.48922,0.46897,0.44148,0.19612,0.44996,0.38566,0.36912,0.14556,1.97957,2.44005,1.53951,1.28273,0,0.00825808,0.00825808,0.00825808
60,5313.62,1.51493,2.32103,1.44334,1.24815,0,0.4809,0.45309,0.45092,0.19524,0.38143,0.41585,0.35312,0.13817,1.98196,2.486,1.54424,1.28458,0,0.00820189,0.00820189,0.00820189
61,5394.09,1.49989,2.31742,1.43724,1.23805,0,0.47483,0.47247,0.45032,0.20403,0.38922,0.42735,0.38078,0.1515,1.99105,2.49005,1.54083,1.28942,0,0.00814503,0.00814503,0.00814503
62,5474.99,1.50226,2.29445,1.41096,1.24435,0,0.38243,0.47433,0.44717,0.20364,0.33214,0.40926,0.36001,0.1432,1.98165,2.49248,1.54826,1.29266,0,0.00808752,0.00808752,0.00808752
63,5556.64,1.5056,2.30776,1.42713,1.24831,0,0.48263,0.47869,0.45544,0.20219,0.35501,0.39915,0.34877,0.13795,1.98289,2.46855,1.55948,1.28645,0,0.00802938,0.00802938,0.00802938
