epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,4399.65,1.57147,1.23422,1.06245,0.50861,0.51068,0.49989,0.22414,1.5718,1.24878,1.05153,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359
59,4474.1,1.57893,1.23834,1.0678,0.54003,0.49818,0.49984,0.22818,1.57454,1.25052,1.04724,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808
60,4549.91,1.56835,1.22932,1.06329,0.55571,0.48868,0.49157,0.22277,1.56436,1.24037,1.04185,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189
61,4625.19,1.56356,1.22741,1.06195,0.53262,0.48297,0.4884,0.22555,1.57046,1.2527,1.03805,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503
62,4699.87,1.5682,1.21706,1.05836,0.53841,0.51305,0.50824,0.22974,1.58101,1.24014,1.04158,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752
63,4774.67,1.54637,1.21077,1.06229,0.49428,0.51796,0.47713,0.21874,1.57343,1.25538,1.04717,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938
64,4849.16,1.54386,1.19138,1.0547,0.53545,0.52181,0.4974,0.2315,1.56732,1.23179,1.03957,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706
65,4923.4,1.54736,1.20066,1.05514,0.54129,0.51657,0.50691,0.23275,1.55665,1.2114,1.03736,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122
66,4998.09,1.54136,1.19083,1.05415,0.54954,0.46931,0.49141,0.22691,1.56388,1.23634,1.03458,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124
67,5072.85,1.54885,1.18961,1.05079,0.53019,0.51274,0.49482,0.23011,1.56187,1.2298,1.03657,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069
68,5148.31,1.54395,1.1917,1.05351,0.58666,0.51694,0.51873,0.23547,1.55709,1.21859,1.03457,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956
69,5223.37,1.53508,1.17895,1.05265,0.53774,0.51293,0.50058,0.23585,1.55404,1.20658,1.03663,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789
70,5298.08,1.53223,1.17068,1.04638,0.55342,0.49678,0.50356,0.23454,1.56195,1.20735,1.03856,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568
71,5372.77,1.52619,1.16488,1.04533,0.56895,0.50285,0.5063,0.23253,1.55724,1.20527,1.03726,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296
72,5447.3,1.53,1.16194,1.04606,0.54811,0.50071,0.49766,0.22944,1.56377,1.22469,1.03912,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973
73,5521.73,1.52142,1.16759,1.04304,0.55673,0.50915,0.49824,0.2351,1.56577,1.21713,1.04113,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601
74,5596.63,1.51474,1.14651,1.03937,0.56334,0.50362,0.50635,0.2391,1.55791,1.19215,1.03634,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181
75,5672.31,1.51735,1.15495,1.04183,0.54196,0.52552,0.51719,0.2384,1.56223,1.21335,1.04261,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717
76,5747.26,1.51802,1.15102,1.04119,0.53017,0.54549,0.52388,0.24365,1.55971,1.2005,1.03845,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208
77,5822.05,1.51262,1.14973,1.03993,0.5247,0.54682,0.52396,0.24204,1.55054,1.20212,1.03801,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656
78,5896.5,1.5135,1.13742,1.03716,0.52378,0.53648,0.50965,0.23908,1.56134,1.20035,1.03222,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064
79,5970.89,1.50952,1.13757,1.03538,0.53934,0.51521,0.51928,0.2383,1.55504,1.1889,1.03087,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432
80,6045.44,1.50065,1.13551,1.03589,0.53334,0.5132,0.50429,0.23649,1.54893,1.19209,1.03852,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763
81,6120.15,1.49924,1.12153,1.03303,0.51602,0.54806,0.50637,0.24028,1.54837,1.18767,1.034,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058
82,6195.25,1.48728,1.12411,1.02773,0.5365,0.52386,0.51416,0.23829,1.54457,1.19105,1.03367,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318
83,6270.91,1.49004,1.10583,1.02659,0.52725,0.54256,0.50572,0.23813,1.55221,1.19403,1.03477,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546
84,6346.16,1.49952,1.11437,1.03486,0.55718,0.53491,0.51721,0.24325,1.56211,1.17246,1.0347,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743
85,6420.89,1.47774,1.0927,1.02305,0.54674,0.51257,0.51173,0.23947,1.55121,1.16923,1.03666,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191
86,6495.82,1.48519,1.0935,1.02562,0.57487,0.51406,0.52235,0.23881,1.55569,1.17685,1.03785,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505
87,6570.45,1.485,1.09758,1.03133,0.56953,0.54234,0.53601,0.24548,1.55197,1.17236,1.0379,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164
88,6645.26,1.47758,1.09709,1.02793,0.51461,0.52784,0.49616,0.23964,1.54756,1.18339,1.03666,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254
89,6720.35,1.48568,1.09025,1.02381,0.51554,0.52084,0.51028,0.24011,1.55578,1.16687,1.03709,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322
90,6796.64,1.47672,1.08847,1.02422,0.54712,0.51067,0.53222,0.24216,1.56194,1.17032,1.03604,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368
91,6872.55,1.46871,1.0942,1.02261,0.58814,0.52851,0.5458,0.24506,1.55143,1.16619,1.03401,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396
92,6947.04,1.46526,1.07284,1.01956,0.56338,0.54881,0.53875,0.25118,1.55128,1.16468,1.03222,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406
93,7021.77,1.46502,1.07124,1.02193,0.56051,0.51247,0.52698,0.24572,1.55795,1.17162,1.03933,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064
94,7097.32,1.46122,1.06591,1.02019,0.5376,0.537,0.52203,0.24728,1.55441,1.16377,1.03759,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938
95,7173.55,1.45748,1.06291,1.01854,0.55047,0.53574,0.51488,0.24138,1.56716,1.18054,1.04109,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349
96,7249.62,1.45355,1.05711,1.01376,0.56008,0.512,0.52232,0.24315,1.56154,1.17225,1.03649,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307
97,7325.64,1.45253,1.05691,1.01099,0.53457,0.55241,0.51909,0.2445,1.56131,1.17228,1.03685,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256
98,7401.77,1.44373,1.04507,1.0124,0.52722,0.52988,0.51141,0.24346,1.54851,1.16425,1.03684,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198
99,7476.3,1.44404,1.03933,1.01157,0.52788,0.54904,0.51716,0.24635,1.55142,1.16565,1.03675,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135
