epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,4780.68,1.5633,1.21768,1.057,0.54201,0.48384,0.49702,0.22862,1.56972,1.24468,1.03793,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189,0.0246057,0.00820189
61,4856.21,1.56615,1.22173,1.06093,0.51784,0.48409,0.47265,0.22386,1.57126,1.23147,1.03864,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503
62,4930.91,1.56573,1.21626,1.05522,0.49529,0.50874,0.48756,0.22575,1.56638,1.23661,1.03744,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752,0.0242626,0.00808752
63,5006.45,1.5461,1.20911,1.05865,0.52257,0.50213,0.48938,0.22567,1.57895,1.24441,1.04264,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938,0.0240881,0.00802938
64,5082.41,1.54013,1.19213,1.04972,0.53274,0.4986,0.49362,0.22804,1.56754,1.23782,1.03558,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706
65,5158.08,1.5418,1.20347,1.0512,0.53363,0.50056,0.49041,0.22831,1.55968,1.21527,1.03761,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122
66,5235.68,1.5359,1.18505,1.05177,0.52511,0.47886,0.4797,0.22534,1.57587,1.22984,1.03933,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124
67,5313.34,1.54575,1.1888,1.04911,0.49705,0.52282,0.48036,0.2248,1.57151,1.21609,1.04446,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069
68,5391,1.53923,1.1883,1.04879,0.51551,0.52435,0.48417,0.23006,1.5656,1.20522,1.03593,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956
69,5468.19,1.53283,1.18084,1.049,0.53327,0.50522,0.48252,0.22812,1.5661,1.22056,1.04,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789
70,5545.34,1.52598,1.17189,1.0434,0.52556,0.48753,0.48332,0.22324,1.57039,1.23711,1.04462,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568
71,5621.32,1.52249,1.16105,1.04096,0.53014,0.49643,0.47392,0.22129,1.58116,1.2124,1.0408,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296
72,5697,1.5297,1.16757,1.04313,0.54509,0.49813,0.5018,0.23443,1.56387,1.21636,1.04094,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973
73,5774.25,1.51596,1.1631,1.03808,0.56962,0.49054,0.49767,0.23022,1.57342,1.22445,1.0399,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601
74,5849.08,1.51159,1.15079,1.03783,0.49761,0.50739,0.48219,0.22289,1.57453,1.20148,1.04095,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181
75,5929.53,1.51056,1.15649,1.03823,0.55134,0.47983,0.49958,0.23194,1.56225,1.19941,1.03169,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717
76,6008.28,1.51613,1.15033,1.03859,0.54808,0.48508,0.49747,0.22958,1.55934,1.2167,1.02835,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208
77,6086.61,1.50758,1.14054,1.03796,0.50936,0.52557,0.49388,0.23122,1.56338,1.19111,1.03304,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656
78,6170.3,1.50667,1.13335,1.03183,0.57655,0.49491,0.50073,0.23334,1.56839,1.19096,1.03508,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064
79,6250.98,1.51191,1.14114,1.03466,0.49841,0.55566,0.49972,0.23496,1.56185,1.20239,1.03493,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432
80,6329.05,1.49134,1.1304,1.02997,0.52612,0.55403,0.50752,0.23201,1.56394,1.19254,1.03521,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763
81,6408.07,1.498,1.11602,1.0307,0.52878,0.51721,0.49647,0.22894,1.56208,1.19779,1.03519,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058
82,6485.03,1.48515,1.11873,1.02461,0.50162,0.55856,0.50718,0.23202,1.55948,1.1929,1.03961,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318
83,6561.31,1.48735,1.11039,1.024,0.53797,0.49756,0.50034,0.23166,1.56528,1.18214,1.03523,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546
84,6637.57,1.4916,1.11124,1.03033,0.53444,0.54705,0.52172,0.23986,1.57066,1.17647,1.03826,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743
85,6713,1.47846,1.09928,1.02048,0.51066,0.52233,0.49088,0.23488,1.56277,1.17392,1.03603,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191
86,6787.89,1.48121,1.09011,1.02087,0.5625,0.52777,0.51486,0.23741,1.57215,1.18901,1.03953,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505
87,6862.67,1.48511,1.10611,1.02654,0.53229,0.53673,0.50744,0.2371,1.57047,1.18759,1.037,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164
88,6937.11,1.47728,1.09648,1.02575,0.53847,0.53328,0.51634,0.23862,1.56934,1.17664,1.03874,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254
89,7012.44,1.47593,1.0873,1.02105,0.54299,0.54444,0.51204,0.23869,1.55993,1.17879,1.03239,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322
90,7087.17,1.47317,1.08923,1.02123,0.54799,0.52715,0.51881,0.23773,1.56552,1.17486,1.03515,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368
91,7161.65,1.46288,1.08775,1.01834,0.54917,0.53704,0.52948,0.24183,1.56156,1.16631,1.03349,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396
92,7236.1,1.46431,1.0721,1.01701,0.49179,0.54114,0.50489,0.23433,1.561,1.17033,1.03359,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406
93,7310.75,1.45719,1.06099,1.01765,0.54804,0.53567,0.51005,0.23538,1.57022,1.17188,1.03986,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064
94,7386.13,1.45723,1.066,1.01567,0.52969,0.53438,0.51088,0.23652,1.56744,1.17032,1.03529,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938
95,7461.06,1.45582,1.06639,1.0168,0.48128,0.54519,0.49463,0.2328,1.57308,1.17265,1.04002,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349
96,7535.69,1.45286,1.05508,1.01264,0.50322,0.54408,0.50007,0.23795,1.56718,1.16365,1.03862,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307
